"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"MA",2020-03-08,17,736.513275736803,371.703760960401,1290.07973938394,0,0.124444995110091,0.0357030824047329,0.324467073920851,4.10112607360216,2.85037776571751,5.3072899820194,1595.24281686038,638.998813879517,3357.91616444493
"MA",2020-03-09,0,942.687984735295,491.59532504829,1616.07233113293,0,0.162600801021027,0.048540890238499,0.415715747064618,4.15728428592115,2.91412998965737,5.35378896805693,2003.6216443693,847.990913618727,4074.77849307049
"MA",2020-03-10,68,1173.55452568819,636.547438621148,1957.2707527588,0,0.210442909596408,0.0658332574025528,0.527127471888426,4.05543774270794,2.83221272929164,5.24570531374004,2546.44455630617,1147.06635801096,5006.82701163818
"MA",2020-03-11,3,1537.01391430471,857.35057086384,2531.63297507795,0,0.269887613281941,0.0885315307919694,0.655583909445402,4.13089172829766,2.92368679723107,5.30982936495916,3254.15337673965,1542.64623782887,6147.46827295485
"MA",2020-03-12,13,2142.43593963942,1221.25764060572,3512.17621138586,0,0.344185235006618,0.119039675105527,0.80727511931116,4.46450448123654,3.25684137405955,5.59293625950336,4163.61824293266,2059.20096238032,7581.7506484745
"MA",2020-03-13,15,2524.31108882971,1464.89476613708,4098.97175651689,0,0.437343933363213,0.159562771230624,0.995168780684885,4.0751557450594,2.89039495014909,5.22988310111922,5365.20579586333,2758.68897015124,9413.33815340297
"MA",2020-03-14,15,3123.10983020889,1822.04526261196,5110.92267943793,0,0.554614470967837,0.213898817968429,1.22321388659093,3.87763401088904,2.7082956093917,5.04744877399968,6948.85325366189,3677.90516049249,11796.7437239012
"MA",2020-03-15,26,3979.65478046541,2554.44193346403,5992.86745012194,0,0.703221328965985,0.285388059242764,1.50373651221046,3.85636367457887,2.90190316926137,4.83296517834565,8926.52439345142,4921.80277229227,14784.9905179584
"MA",2020-03-16,33,4883.70454205388,3190.33412413488,7238.6219097997,0,0.893193024902342,0.383483915011904,1.827981012177,3.71000695930732,2.78268947181271,4.67318735422149,11370.2566138086,6477.93791905067,18485.6882511489
"MA",2020-03-17,21,4616.64243887632,3069.95202113494,6690.45587758946,0,1.13585404828237,0.514438100294575,2.22147051084688,2.77770509874683,1.95300570811952,3.67041928748762,14396.8214635038,8493.34467591141,22868.5814942319
